location,date,vaccine,total_vaccinations
Argentina,17/04/2021,Oxford/AstraZeneca,847325
Argentina,17/04/2021,Sinopharm/Beijing,1775584
Argentina,17/04/2021,Sputnik V,4040788
Argentina,18/04/2021,Oxford/AstraZeneca,848600
Argentina,18/04/2021,Sinopharm/Beijing,1777847
Argentina,18/04/2021,Sputnik V,4057157
Argentina,19/04/2021,Oxford/AstraZeneca,864000
Argentina,19/04/2021,Pfizer/BioNTech,30
Argentina,19/04/2021,Sinopharm/Beijing,1802814
Argentina,19/04/2021,Sputnik V,4107300
Argentina,20/04/2021,Oxford/AstraZeneca,916542
Argentina,20/04/2021,Sinopharm/Beijing,1826857
Argentina,20/04/2021,Sputnik V,4153477
Argentina,21/04/2021,CanSino,6
Argentina,21/04/2021,Moderna,10
Argentina,21/04/2021,Oxford/AstraZeneca,1036838
Argentina,21/04/2021,Sinopharm/Beijing,1848081
Argentina,21/04/2021,Sputnik V,4185968
Argentina,22/04/2021,CanSino,7
Argentina,22/04/2021,Oxford/AstraZeneca,1154169
Argentina,22/04/2021,Sinopharm/Beijing,1863648
Argentina,22/04/2021,Sputnik V,4231312
Argentina,23/04/2021,Oxford/AstraZeneca,1272511
Argentina,23/04/2021,Sinopharm/Beijing,1877750
Argentina,23/04/2021,Sputnik V,4293472
Argentina,24/04/2021,Oxford/AstraZeneca,1326377
Argentina,24/04/2021,Sinopharm/Beijing,1879322
Argentina,24/04/2021,Sputnik V,4330277
Argentina,25/04/2021,Oxford/AstraZeneca,1358837
Argentina,25/04/2021,Sinopharm/Beijing,1879697
Argentina,25/04/2021,Sputnik V,4346765
Argentina,26/04/2021,Oxford/AstraZeneca,1431956
Argentina,26/04/2021,Pfizer/BioNTech,31
Argentina,26/04/2021,Sinopharm/Beijing,1887266
Argentina,26/04/2021,Sputnik V,4438240
Argentina,27/04/2021,Oxford/AstraZeneca,1491088
Argentina,27/04/2021,Pfizer/BioNTech,32
Argentina,27/04/2021,Sinopharm/Beijing,1894627
Argentina,27/04/2021,Sputnik V,4525527
Argentina,28/04/2021,Oxford/AstraZeneca,1543245
Argentina,28/04/2021,Pfizer/BioNTech,33
Argentina,28/04/2021,Sinopharm/Beijing,1922593
Argentina,28/04/2021,Sputnik V,4604459
Argentina,29/04/2021,Oxford/AstraZeneca,1582010
Argentina,29/04/2021,Sinopharm/Beijing,1962727
Argentina,29/04/2021,Sputnik V,4681909
Argentina,30/04/2021,Oxford/AstraZeneca,1612568
Argentina,30/04/2021,Sinopharm/Beijing,1998900
Argentina,30/04/2021,Sputnik V,4730170
Argentina,1/05/2021,Oxford/AstraZeneca,1617832
Argentina,1/05/2021,Sinopharm/Beijing,2002613
Argentina,1/05/2021,Sputnik V,4741506
Argentina,2/05/2021,Oxford/AstraZeneca,1624425
Argentina,2/05/2021,Sinopharm/Beijing,2016745
Argentina,2/05/2021,Sputnik V,4760962
Argentina,3/05/2021,Oxford/AstraZeneca,1648050
Argentina,3/05/2021,Pfizer/BioNTech,34
Argentina,3/05/2021,Sinopharm/Beijing,2090729
Argentina,3/05/2021,Sputnik V,4838120
Argentina,4/05/2021,Oxford/AstraZeneca,1671665
Argentina,4/05/2021,Sinopharm/Beijing,2184841
Argentina,4/05/2021,Sputnik V,4952495
Argentina,5/05/2021,Moderna,11
Argentina,5/05/2021,Oxford/AstraZeneca,1696591
Argentina,5/05/2021,Sinopharm/Beijing,2263446
Argentina,5/05/2021,Sputnik V,5094041
Argentina,6/05/2021,Oxford/AstraZeneca,1714432
Argentina,6/05/2021,Pfizer/BioNTech,35
Argentina,6/05/2021,Sinopharm/Beijing,2328092
Argentina,6/05/2021,Sputnik V,5214454
