location,date,source_url
England,1/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,10/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,31/10/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
